-12.006|0.0,-82.77925|0.0,-84.663625|0.0,-82.764125|0.0,-84.764125|0.0048125,-85.189625|0.0,-79.9231875|0.0,-90.882375|0.0,-87.02725|0.0,-79.3596875|0.0,-72.0835|0.0046875,-84.8420625|0.0143125,-78.17325|0.0,-82.0103125|0.0,-78.5875|0.0,-79.677125|0.00475,-76.3421875|0.00475,-80.8728125|0.0,-79.667375|0.0048125,-83.4635|0.004875,-272.026375|142.71775,-275.4566875|143.34275,-272.1340625|141.841625,-276.151875|142.822375,-270.8643125|142.479875,-277.4759375|142.5055,-271.3899375|142.157625,-272.40275|141.70125,-272.9021875|141.946125,-270.0711875|142.377625,-271.197125|143.55325,-272.7875625|144.80875,-273.3561875|142.679125,-273.0135|143.653125,-273.75575|143.59725,-273.0158125|142.576,-273.5796875|142.98,-274.2068125|142.481875,-272.610625|143.437,-275.5336875|142.7865,-278.9530625|142.210375,-274.2485|140.999875,-280.3855|141.643875,-275.1210625|141.777625,-280.5349375|141.23925,-274.345|139.335125,-276.5365|140.650875,-275.69275|140.9564375,-275.7358125|141.818625,-276.5738125|141.61225,-262.5398125|141.53575,-275.7429375|141.701125,-277.289|140.141625,-277.2969375|143.61025,-274.789375|141.0035,-276.023|140.079875,-274.5025|142.178625,-273.66225|141.158625,-277.82075|142.255125,-276.2745625|142.271125,-264.693625|131.578625,-263.6513125|131.256625,-264.1313125|132.335375,-263.696375|132.774625,-262.4196875|130.090375,-265.2179375|131.9965,-265.4431875|131.6285,-267.5871875|131.9275,-262.7033125|130.84825,-261.0094375|129.109625,-265.1375|132.2805,-266.028|132.16825,-264.8805|131.5935,-264.1635|131.638125,-264.93875|129.990625,-263.0266875|130.46325,-265.5059375|130.331,-263.62675|131.36275,-266.4409375|131.169625,-262.344375|130.903625,-260.815875|133.880625,-260.2795625|134.24575,-260.8009375|133.468125,-260.847125|134.276625,-258.6601875|132.989125,-260.3165625|132.9895,-257.3548125|132.605875,-254.658625|131.687625,-260.3006875|134.689375,-259.5843125|134.491375,-258.9621875|134.508,-261.3790625|134.72925,-260.9885625|134.827625,-261.1529375|135.2865,-258.18275|132.820875,-262.1914375|136.516625,-275.909625|132.93975,-259.1843125|133.467125,-263.366|135.1465,-258.5168125|134.429,
-89.0633125|8.75E-4,-10.005|0.0,-161.4273125|0.0,-162.9175625|0.0,-159.721875|0.0,-163.9429375|0.0,-159.4060625|0.0,-162.013625|0.0,-158.749125|0.0,-167.600875|0.0,-172.6298125|0.0,-151.3759375|0.0,-181.3390625|0.0,-156.647625|0.005875,-183.855375|0.0,-181.8994375|0.0,-178.1045625|0.005375,-167.484375|0.0,-180.7273125|0.0199375,-143.75325|0.0,-272.54475|143.001875,-274.6723125|142.985375,-274.4113125|143.491,-268.883375|142.403875,-269.5831875|141.793625,-276.2081875|144.79025,-273.53725|142.623375,-272.8614375|141.315,-274.0005625|142.80575,-273.8468125|144.605625,-273.7339375|142.24575,-270.579625|141.27425,-274.2595625|142.39775,-271.8455625|141.418625,-274.3269375|142.80725,-271.3788125|143.462125,-274.824375|143.695375,-275.580625|141.873,-274.383875|143.25175,-274.4338125|143.5755,-280.41025|142.29425,-276.7165|141.1395,-277.0693125|141.187125,-277.10175|142.878125,-277.922875|142.603,-275.324875|141.841,-279.6618125|140.883125,-277.538875|140.4514375,-275.0445625|140.799875,-278.28575|142.19925,-262.20425|140.688625,-275.3856875|140.664,-277.9965625|141.156875,-276.296625|141.69225,-272.806|140.3775,-276.0845|140.888625,-275.4505625|141.605875,-275.7766875|141.277875,-273.5494375|141.670625,-278.06875|142.452625,-264.6650625|131.088375,-265.6785|132.42625,-262.3338125|130.673125,-261.919875|129.923375,-263.813|132.0915,-263.9029375|130.116,-263.9219375|130.295125,-268.0885625|131.736375,-262.6308125|129.83075,-262.078875|129.334375,-267.8440625|132.592875,-264.70975|130.90875,-262.639375|129.925125,-262.7626875|128.74,-264.596875|130.535375,-263.979125|130.372375,-266.403|132.487125,-263.82875|130.41875,-265.198875|130.1225,-261.8613125|130.335375,-259.80175|133.265125,-261.5544375|135.321125,-258.54675|134.2815,-261.4535|135.227875,-258.947|133.41425,-257.77525|132.273,-261.371625|135.409125,-260.932125|135.710625,-260.23525|133.5175,-260.798375|133.377375,-259.8034375|134.11925,-260.597375|134.530625,-260.1145625|132.9095,-257.41|133.25125,-259.6873125|133.6235,-260.836375|135.19025,-280.1865625|133.979875,-258.4586875|133.345375,-258.273625|132.374,-261.6183125|134.5335,
-164.5920625|0.0,-165.4683125|0.0,-8.004|0.0,-170.8169375|0.0,-172.019875|0.0,-185.57725|0.0,-173.5826875|0.005875,-175.22375|0.0,-183.2171875|0.0,-172.09225|0.0,-175.865875|0.0,-156.687375|0.0,-182.259125|0.0,-159.3245625|0.0059375,-171.4870625|0.0,-183.0355625|0.0,-178.1689375|0.0,-179.0230625|0.01225,-177.42375|0.0,-159.2223125|0.0,-271.159875|143.050625,-269.4845|141.326,-272.007625|142.886875,-271.79575|141.862625,-271.008375|142.90925,-279.698|144.035,-272.23425|143.275,-270.5860625|142.787125,-272.3290625|143.108,-268.114375|143.0395,-271.50625|142.41825,-268.59|140.338,-271.2455|143.649125,-274.235375|146.23475,-272.94675|142.1425,-273.0703125|143.620375,-267.5836875|141.16175,-272.4104375|141.692,-271.0221875|142.209875,-273.3074375|142.349375,-278.6214375|142.024375,-273.23475|140.7945,-274.5418125|140.691875,-273.633125|140.887875,-277.6079375|140.729875,-273.5299375|141.564625,-273.5069375|139.584125,-275.429375|141.60875,-274.04675|141.2805,-276.8795|141.31725,-261.1598125|140.416875,-273.4049375|141.2705,-274.8800625|139.835,-275.0031875|140.112125,-273.165625|141.465125,-272.901|141.249875,-272.7104375|139.5745,-270.7794375|140.1075,-274.9660625|141.618875,-275.6931875|139.7575,-261.6543125|130.77825,-259.311875|129.450625,-262.747375|130.860625,-259.4609375|130.975125,-259.9838125|130.799625,-262.78075|129.3705,-265.2666875|131.208625,-262.701|129.016125,-262.1890625|131.46,-265.4654375|132.8505,-262.2576875|130.818,-262.8611875|130.112125,-264.0035|130.12725,-260.0280625|129.788,-264.430375|131.812,-263.721375|131.267,-262.4244375|130.73125,-262.6370625|130.17575,-262.2305|129.10625,-261.7301875|131.693875,-257.658875|133.764375,-259.93|134.456875,-256.54475|133.627125,-256.798875|132.769125,-256.6914375|133.94275,-257.4925|133.253,-258.3923125|133.962875,-257.6489375|134.680375,-257.475625|132.985875,-259.53275|135.0995,-256.2048125|134.276625,-259.070625|135.481375,-259.839375|134.10125,-255.927|133.90275,-256.3338125|133.925625,-258.327875|133.556,-275.3389375|134.300625,-256.8048125|133.69725,-258.167875|133.54525,-255.0270625|133.4605,
-172.788875|0.0,-169.7845625|0.00575,-181.0336875|0.0,-13.0065|0.0,-173.0224375|0.0,-177.416875|0.0,-168.6935625|0.0,-178.6715|0.0,-179.6674375|0.0,-180.512375|0.0,-181.6241875|0.0,-171.87925|0.0,-175.27725|0.0,-169.079|0.0,-181.1408125|0.0,-174.6665|0.0,-183.05075|0.0,-185.927875|0.0,-177.0316875|0.0,-166.70225|0.0,-270.3981875|141.724375,-273.0446875|141.530375,-272.020875|143.020875,-273.018125|143.44025,-271.2206875|140.9535,-279.180125|144.351625,-271.1924375|143.0135,-269.7738125|140.638,-274.79225|143.77175,-270.4015|143.048125,-269.8350625|142.5496875,-272.59675|142.38475,-269.384875|141.79425,-270.66775|142.79225,-273.946375|143.35175,-271.977|142.770125,-272.31875|142.812625,-272.39175|143.333875,-270.5378125|142.145375,-272.277625|143.177625,-278.4218125|140.941375,-273.71775|141.74525,-279.83025|142.9605,-273.59575|139.79125,-279.92225|141.329125,-276.572|142.25375,-274.7936875|139.571875,-277.6055625|141.616,-271.157125|139.22325,-275.13025|142.103375,-262.0085|141.759375,-275.674625|142.26275,-273.5725625|141.46425,-271.0450625|138.821125,-273.408875|140.8735,-275.7801875|141.866875,-274.028|142.864375,-272.6624375|141.028375,-275.1804375|141.50875,-275.2520625|141.677375,-261.8335625|129.6575,-264.6470625|130.013375,-261.204625|130.5105,-261.3005|130.308875,-261.57525|131.243,-263.9819375|131.9205,-264.5815625|131.13275,-264.889|131.300625,-262.61425|130.715625,-263.5523125|131.660125,-267.0083125|132.099375,-264.6076875|131.357625,-263.6971875|129.580625,-264.8206875|132.136125,-262.8900625|130.470125,-263.1738125|129.52875,-265.2124375|131.148,-265.0429375|131.79725,-265.3146875|130.85675,-264.7375625|131.64825,-260.917625|134.99075,-259.4234375|134.69325,-259.7653125|133.666375,-258.9141875|133.398875,-259.429|134.133,-259.9936875|134.10925,-257.903125|135.0365,-261.7179375|135.6135,-257.4213125|133.348875,-259.59875|134.255,-255.275875|132.05575,-258.6051875|133.090625,-257.4196875|132.80125,-257.1985625|132.81275,-262.4873125|135.374875,-257.9898125|133.08,-276.92875|133.8155625,-257.4714375|134.029625,-259.0533125|133.18575,-259.524625|133.290375,
-163.6973125|0.0,-164.382375|0.0,-159.0163125|0.006375,-161.4361875|0.0,-11.0055|0.0,-160.890875|0.0,-151.4935625|0.00675,-154.45425|0.0,-158.8409375|0.0068125,-154.9485|0.0,-165.443625|0.0,-146.4401875|0.007,-164.3695|0.0,-153.7189375|0.0,-161.8505625|0.0,-151.7318125|0.0068125,-162.23725|0.0213125,-157.5640625|0.0,-151.1876875|0.0,-157.194|0.0069375,-270.5579375|145.358,-269.3146875|145.3125,-271.5695|143.175875,-270.3708125|143.6285,-270.211125|144.386625,-274.71925|144.144375,-269.7988125|144.33,-267.0145625|143.645125,-267.3778125|143.530625,-268.4555625|144.09125,-269.78075|145.3140625,-270.1339375|144.1260625,-268.723875|142.675875,-270.4205|144.474875,-269.484|143.8338125,-268.9226875|143.6565,-270.7435|144.63975,-270.358375|142.6743125,-267.0190625|143.70875,-271.8135625|145.2991875,-267.5595625|149.6115,-260.798|147.9795625,-266.3893125|149.9075625,-263.20175|147.8024375,-267.0685|149.374375,-262.1370625|148.81475,-263.919|148.7669375,-264.7345625|149.5368125,-265.010875|149.1788125,-266.615875|150.3490625,-226.3798125|118.3040625,-263.392875|148.885625,-268.016875|152.2028125,-263.63775|148.4218125,-265.517875|149.73225,-264.0124375|149.1130625,-265.38625|149.991125,-261.8521875|147.8855,-267.4219375|150.4089375,-266.852125|150.35825,-259.9241875|133.1185,-261.199|131.307125,-257.9594375|132.202,-259.8359375|132.3651875,-260.147875|132.348625,-261.296875|132.6164375,-263.481875|133.59075,-262.881125|132.8365625,-262.2711875|132.577125,-259.0274375|131.2019375,-261.657375|131.9476875,-260.6268125|132.8734375,-260.1464375|131.4418125,-261.2466875|132.526125,-261.174|133.641125,-261.713375|133.343625,-262.6159375|131.295375,-261.23775|132.0509375,-265.081875|133.043625,-260.115375|132.146625,-257.474375|135.36275,-256.042|135.763875,-254.07225|134.3355,-259.397875|137.207375,-255.2976875|134.3230625,-256.1313125|136.115,-254.4480625|135.17575,-254.4861875|134.9355,-256.8350625|135.362375,-259.1448125|136.2359375,-254.8306875|135.3921875,-255.2181875|134.900125,-257.95125|136.2915,-255.5163125|134.020125,-257.511125|137.43425,-255.538875|135.897625,-277.6051875|135.6835625,-256.8240625|136.155375,-259.2518125|135.8376875,-256.021125|134.973625,
-161.8763125|0.007125,-169.960875|0.0,-169.8935|0.0,-164.7398125|0.0,-169.663375|0.0,-9.0045|0.0,-157.273875|0.0,-154.47925|0.0361875,-145.2315|0.0,-152.0188125|0.0075625,-151.1943125|0.0,-145.4185625|0.0,-147.7925625|0.0,-149.653375|0.0,-165.86225|0.0,-156.736875|0.0,-149.3065625|0.0,-164.1845|0.0,-161.919125|0.0,-134.6243125|0.0,-269.20325|142.313625,-268.7395625|142.224625,-267.662|141.370625,-268.233|141.857375,-267.792|142.479,-271.1505625|142.39,-265.57|141.3515,-266.0155|141.277,-269.3794375|142.643875,-268.2535625|143.868875,-265.4350625|141.652,-267.939625|143.130625,-267.194875|141.795125,-268.30625|143.69375,-268.9353125|142.045625,-266.935|142.08675,-267.1995|141.64525,-270.14575|143.083375,-268.158625|142.715,-269.72775|142.08775,-276.3751875|141.087875,-274.658|140.9125,-272.778375|140.953625,-273.055375|140.431375,-277.0849375|140.722875,-272.90825|141.34,-273.649125|141.5705,-276.6016875|142.033,-273.1469375|141.0165,-280.2305|142.61525,-259.870125|140.76225,-270.8786875|138.914,-273.800125|139.6615,-274.6986875|143.952375,-273.6936875|140.66775,-274.06225|142.6305,-270.708375|138.9465,-269.0461875|139.723625,-274.9816875|142.275125,-275.7241875|141.882625,-261.576625|131.34425,-260.980875|131.0275,-259.9014375|130.645625,-259.5756875|131.077875,-260.2668125|130.782625,-260.3321875|130.848875,-261.8285625|131.26675,-259.345|130.214375,-259.6391875|130.502125,-258.491|130.725,-263.8528125|131.939125,-262.0139375|131.954875,-258.4419375|128.93325,-262.5051875|132.9285,-260.695375|130.891,-261.177375|130.98275,-261.9991875|131.852,-263.9059375|133.3275,-263.307125|130.822875,-259.9049375|132.415875,-253.4328125|131.6635,-255.980625|135.04825,-257.3258125|134.40125,-260.7639375|135.131,-256.4954375|134.927125,-256.843|134.20875,-255.4443125|133.146625,-253.3435625|132.549375,-258.0665625|135.44525,-256.6754375|134.234875,-254.3433125|134.419375,-256.5390625|134.6315,-257.2026875|132.962625,-255.902375|133.184125,-256.8341875|135.324125,-258.9160625|135.147625,-274.778625|134.032375,-255.3691875|133.382875,-259.231375|134.920125,-258.2531875|134.989875,
-153.0860625|0.0,-149.213|0.0,-157.560625|0.0,-150.8504375|0.007625,-154.408125|0.0,-156.0908125|0.0,-7.0035|0.0,-152.5904375|0.0,-142.522625|0.0080625,-139.83525|0.0,-136.8115|0.0,-148.839875|0.0,-153.13375|0.008125,-140.8541875|0.023125,-152.73125|0.0080625,-148.7703125|0.0,-153.774125|0.0,-152.917625|0.0,-147.59675|0.0,-141.824125|0.0,-268.81725|142.904875,-269.46875|142.254875,-270.0804375|143.660375,-270.209375|142.87325,-268.839375|143.264625,-273.854125|142.807625,-269.712375|143.47575,-268.10625|142.304625,-267.2979375|141.851875,-271.149125|145.100875,-266.2193125|142.475125,-268.8886875|142.9685,-270.5884375|142.305,-265.6100625|141.555125,-268.93625|141.505125,-268.89575|141.887,-273.540125|144.221,-271.0011875|142.68375,-268.01|142.589375,-267.64725|141.58675,-273.5749375|138.643125,-273.1958125|141.789125,-275.422875|142.12575,-273.8685625|140.915375,-274.7349375|140.195875,-269.7964375|139.546625,-274.0695625|142.551375,-274.7188125|143.07325,-269.873875|140.66225,-277.268125|142.4783125,-262.5743125|142.595375,-271.11575|141.77725,-272.11025|141.646,-274.4256875|142.504125,-269.7568125|140.6985,-272.0396875|140.223875,-269.4145|140.750625,-270.689|140.11525,-272.8960625|141.407,-273.3164375|140.848,-261.379125|131.642375,-258.260875|128.753,-259.408875|132.0005,-258.5409375|130.386875,-261.1195625|132.432875,-257.8350625|129.32025,-260.105875|131.654375,-260.0276875|129.50225,-260.7565625|131.633875,-259.3154375|129.535625,-261.477125|129.064875,-259.37375|129.76525,-261.4136875|130.423875,-259.0325|130.95425,-259.6321875|130.1965,-261.7700625|131.353,-259.707125|130.2,-259.9256875|130.173625,-261.1918125|131.4135,-261.4406875|130.80875,-256.1656875|133.885,-255.761|134.864625,-254.457125|134.536375,-257.46825|135.2315,-256.3991875|134.479875,-254.663375|134.417375,-257.2805|134.242125,-254.2518125|133.72425,-252.522875|132.007,-256.43475|133.920125,-253.1695625|133.463375,-257.6688125|135.324125,-255.244125|133.556,-256.5180625|134.4935,-255.3818125|133.348875,-257.7238125|135.2965,-274.735375|132.780625,-254.827125|133.1055,-254.975|133.666875,-255.619|134.58,
-147.9224375|0.0,-156.482375|0.0,-148.034|0.0,-150.0345625|0.0,-151.1195|0.0,-142.6275|0.0,-146.301625|0.0,-11.0055|0.0,-142.9770625|0.0,-144.063375|0.00825,-137.7428125|0.0,-134.1995625|0.0,-149.935875|0.0,-126.0965625|0.0,-144.659875|0.00825,-150.285|0.0,-136.502625|0.0,-145.7888125|0.0084375,-139.808|0.037375,-134.8375625|0.0,-269.265125|143.547125,-270.80675|142.78925,-267.892625|141.230375,-267.046375|142.2505,-267.8703125|142.852875,-271.53625|142.474625,-269.940125|144.0145,-268.8446875|143.453625,-269.9026875|143.00075,-265.109375|141.9775,-267.9464375|143.316375,-266.9379375|141.966,-267.8895|143.642375,-266.0499375|142.536875,-268.23875|141.9025,-267.3881875|141.73475,-268.557375|141.054125,-269.014625|141.932625,-266.27025|142.138125,-270.897375|143.060625,-273.0645625|141.640625,-272.5906875|140.977,-271.8926875|139.6415,-269.768375|141.26075,-272.44825|140.50575,-269.9795|139.367125,-274.983375|141.2185,-274.7143125|140.815625,-271.17425|141.809625,-274.191|141.59375,-259.7349375|141.16775,-270.887|139.62925,-272.359|142.129,-273.3835|140.446375,-268.982|141.413,-270.4856875|140.724125,-269.4089375|140.772625,-269.9894375|141.35675,-272.0025|142.738625,-271.672625|140.990125,-256.829125|129.425125,-259.3959375|129.76625,-255.887625|129.591625,-256.2855625|130.3665,-258.8053125|130.9195,-258.1964375|131.91075,-258.6791875|130.037625,-262.2226875|130.535625,-255.5556875|129.3660625,-257.811875|129.662625,-261.7111875|131.432375,-261.533|132.530625,-259.9356875|131.602375,-259.5036875|132.148,-261.584875|131.111875,-260.6953125|132.504375,-259.5609375|130.09425,-260.157375|131.774,-259.2269375|129.98775,-256.8250625|130.513,-252.9895625|134.148125,-254.42975|134.550125,-255.1249375|134.62375,-255.0874375|134.34825,-253.31775|134.1405,-253.0508125|133.4585,-253.9034375|134.474625,-252.0430625|132.79725,-251.389875|133.005625,-253.9291875|134.642875,-252.92325|134.014375,-252.7206875|134.36125,-254.857375|134.5185,-254.004375|134.755625,-255.54475|135.69425,-255.12475|133.33775,-271.5421875|134.642375,-255.01475|134.613875,-256.3824375|135.090625,-252.7624375|133.077875,
-143.2066875|0.0,-142.816625|0.0,-150.69|0.0,-147.8138125|0.0,-148.4674375|0.0,-132.823875|0.0,-135.607875|0.0,-147.7445|0.0,-9.0045|0.0,-134.491625|0.0,-137.1271875|0.0,-131.4351875|0.0,-128.1398125|0.0,-125.611|0.0,-137.334|0.0,-140.463125|0.0,-142.0871875|0.0086875,-136.1766875|0.0,-139.875125|0.00875,-127.2624375|0.0,-266.5301875|142.480875,-269.2655|143.1365,-268.440375|143.409375,-266.3040625|142.23125,-266.35725|141.519125,-271.159|141.334625,-267.2275|143.29225,-266.0521875|142.214875,-266.21825|142.7285,-267.32075|144.08425,-266.8913125|144.104375,-266.9809375|142.770125,-269.22475|143.519125,-264.7103125|142.85175,-268.9951875|143.5295,-267.347|141.8275,-269.0306875|142.858,-268.0495625|142.628,-267.015625|143.08725,-270.09575|142.657125,-273.672875|141.35525,-271.6174375|141.990375,-272.6460625|139.7245,-271.84225|140.6455,-276.0303125|140.942125,-272.653625|140.90925,-272.6298125|140.21675,-274.2850625|142.02,-273.2819375|142.478625,-271.885|139.936625,-262.3144375|142.79275,-269.9015|141.61475,-270.7153125|141.259625,-275.35675|141.719375,-271.7555625|141.4325,-272.19725|141.475125,-268.473375|139.28125,-271.4415|142.14625,-271.400875|141.171875,-270.4420625|141.385375,-256.6659375|130.36575,-258.3254375|130.013125,-257.096875|130.925375,-258.4525625|132.48625,-260.1501875|130.834,-258.5215625|131.18425,-259.0106875|129.750375,-260.9428125|129.76575,-256.5471875|129.51325,-260.2761875|130.788,-260.6680625|130.68825,-260.2868125|132.289,-258.6943125|129.735,-259.406375|130.678375,-257.97475|129.60875,-260.3585625|131.240625,-259.1135625|130.68225,-261.3906875|133.775875,-264.2033125|130.98925,-257.3291875|130.136,-254.476125|134.797125,-251.893125|134.180125,-252.7113125|133.8385,-253.5044375|133.895875,-252.2105|133.005625,-252.577375|133.49325,-253.2440625|134.152875,-253.2474375|133.77425,-256.2915625|134.500875,-253.14525|133.014,-251.3150625|134.299375,-252.58625|134.223875,-254.7738125|135.46125,-253.523|133.93525,-251.491625|131.79875,-251.664875|133.608375,-273.6865|134.53725,-256.1795|135.481375,-257.5846875|135.462125,-254.5833125|134.36175,
-138.2251875|0.0,-130.276375|0.0,-133.781|0.0,-143.287875|0.0324375,-146.2685|0.0,-133.0201875|0.0,-129.31375|0.0,-142.678|0.0,-134.3485625|0.0,-10.005|0.0,-122.9510625|0.0,-132.305625|0.0,-126.19025|0.0,-122.5919375|0.0,-137.0441875|0.0,-128.5355|0.0,-124.888625|0.009125,-129.2329375|0.0,-134.4015|0.0275625,-118.701125|0.0,-265.1371875|141.608125,-267.1888125|143.326875,-265.6150625|142.607125,-266.7349375|144.477875,-263.714625|141.441,-271.8195|143.759375,-264.2910625|143.773875,-264.1025625|142.018875,-266.8010625|141.86075,-264.6153125|143.8815,-265.7619375|142.46325,-265.5348125|142.091125,-267.358875|142.111125,-264.732625|142.069375,-266.206625|143.2525,-264.475|142.844375,-264.9150625|140.730125,-266.9088125|143.6085,-265.52675|142.892625,-266.34425|142.2525,-273.1758125|142.1995,-268.3090625|140.65775,-273.741125|141.081625,-269.973|140.835375,-274.578625|139.60325,-267.995625|139.97975,-271.5905|139.4005,-273.099375|140.451875,-270.9585|141.008125,-274.548625|142.3273125,-257.8595625|141.256875,-269.7421875|141.569125,-268.962625|141.7945,-270.6095|140.7035,-266.5040625|140.679875,-271.31875|141.378375,-268.684625|141.99175,-267.5395|141.001375,-269.278125|140.914875,-273.504|141.132375,-258.9809375|129.9935,-257.555875|130.819625,-259.1713125|132.5375,-257.002|130.519125,-257.99475|132.105625,-254.762375|129.5155,-260.1716875|131.79775,-260.4435625|129.913875,-257.0251875|131.39625,-257.96175|129.915625,-258.9965625|132.04225,-256.594875|129.368125,-257.699375|130.634375,-258.54525|131.026875,-258.72575|129.72525,-260.1706875|131.7295,-260.6680625|131.652875,-261.2104375|132.113625,-259.587|130.02775,-256.8555|130.3405,-253.09|134.072375,-249.4800625|131.913,-252.6455|133.020875,-253.3724375|133.633625,-251.081|133.933625,-251.426375|132.842875,-251.7876875|132.254875,-254.8259375|135.650625,-253.0706875|133.81475,-251.99425|133.394125,-250.8638125|133.755125,-252.0860625|133.3105,-257.297375|135.962875,-252.0653125|133.912625,-252.6223125|134.157625,-253.630875|134.6055,-269.5290625|134.3785,-253.950875|135.60975,-255.344625|134.02,-253.5201875|134.222625,
