-12.012|0.0,-55.331875|0.59575,-57.418375|0.71875,-54.209875|0.694625,-61.054|0.658125,-58.404625|0.6995,-55.369|0.98775,-61.005125|0.693875,-51.143375|1.2985,-202.357125|84.2895,-204.066125|87.873375,-207.0605|87.501375,-208.7935|89.180375,-200.04525|85.904,-205.780625|87.7495,-203.53775|84.0965,-207.701125|85.9015,-206.197375|85.752875,-194.94975|85.473125,-200.17975|82.403375,-202.376875|86.728625,-200.68275|84.171,-195.56275|84.7275,-194.023375|83.3295,-193.424625|82.1625,-200.0175|86.29625,-195.571625|84.686125,-202.107875|92.32275,-205.192375|94.547375,-205.51625|93.713875,-200.942375|93.490375,-201.568125|92.78825,-212.925125|93.898875,-200.799|91.81725,-201.546375|90.740125,-204.6595|93.6455,-195.836125|87.436875,-195.96925|88.29325,-203.07725|90.626875,-196.517|86.6965,-203.8615|89.052625,-199.17025|87.753,-199.45875|87.091625,-192.328625|86.10075,-194.96825|86.550375,-202.854125|85.209625,-200.740125|83.98925,-205.88375|87.988625,-205.63675|87.415625,-205.864125|88.217,-204.995625|86.76375,-211.564375|87.143625,-208.7195|86.1195,-206.300125|86.35825,-200.26175|89.414375,-196.358125|86.715,-203.80325|88.836875,-197.840625|87.451,-201.224375|88.3655,-202.818|87.670125,-202.660875|89.186625,-201.954875|88.166,-207.002375|88.746875,-197.05125|87.7955,-200.32225|88.74475,-202.05925|89.217875,-197.383125|87.500625,-202.239|88.513125,-203.599625|90.05175,-202.716625|88.23625,-201.1985|89.18525,-200.003375|89.077375,-197.7325|87.840875,-200.02225|87.252875,-201.286875|86.889375,-203.080625|89.0665,-201.03725|87.21875,-198.210125|87.32825,-203.983|86.75075,-198.094875|85.85325,-202.767875|87.637,
-55.664875|0.291625,-9.009|0.0,-117.470125|0.569,-122.54925|0.51625,-106.7645|0.246625,-115.92975|0.54375,-118.06325|0.593625,-121.773375|0.82775,-117.304875|0.3195,-202.95575|87.372875,-199.102375|85.74175,-206.26625|88.561625,-201.169875|87.78225,-202.72125|87.994375,-200.377|86.030375,-202.802|87.22825,-200.909625|85.787375,-202.104|87.26125,-195.947875|85.264875,-197.531875|86.004625,-194.019375|81.8635,-196.42075|85.298,-202.07225|87.0015,-196.9985|85.349125,-203.65275|87.93125,-202.363|87.113,-197.9025|86.328875,-200.196625|94.854625,-203.52225|97.54875,-201.685375|95.937,-198.87475|93.29125,-202.59725|95.057125,-208.568875|94.8625,-202.76575|92.910625,-199.185375|93.79925,-202.313875|95.783375,-197.094375|89.814625,-194.85925|87.324,-200.656|89.861375,-190.885375|86.338125,-195.09725|86.8675,-194.314625|87.389625,-201.741875|87.149,-198.504625|88.6185,-194.101|87.929,-194.328125|88.599,-196.91425|90.688125,-197.35175|91.472125,-194.320875|89.6835,-197.3045|93.512125,-200.060375|92.84725,-185.976125|81.62525,-201.04825|90.296375,-196.09625|92.051125,-198.678875|89.025125,-196.953|88.80825,-201.15|88.60175,-200.314625|90.27825,-202.1755|88.601625,-201.646875|88.1745,-200.314|89.85025,-196.859875|88.399375,-196.6935|86.88425,-201.227375|89.349625,-197.90975|87.728625,-204.637625|87.959875,-192.657|86.98675,-199.776625|86.989125,-202.362375|87.382625,-202.493875|89.51275,-201.1535|87.2225,-205.862|89.945625,-195.11675|87.7475,-197.35275|87.376625,-201.881375|88.9275,-199.71025|87.263,-198.851625|87.1255,-195.209125|88.25325,-202.902625|87.654375,-196.523|88.792,-194.65575|87.599,
-127.33075|0.89375,-118.393125|1.220875,-8.008|0.0,-122.4715|1.08675,-105.87425|1.067625,-110.894|0.870625,-112.5035|1.001375,-123.863625|1.227875,-96.350125|0.743125,-199.65325|87.29075,-195.86025|84.529375,-206.473|86.717,-196.774125|84.970875,-198.422625|85.592375,-199.576875|87.383125,-197.52925|85.14125,-200.584|86.29975,-199.370875|84.156625,-191.94525|82.82475,-196.625|83.995,-198.739375|84.65825,-197.1255|82.748125,-200.7155|83.58025,-198.475625|83.250875,-196.91825|83.8245,-197.989|83.45625,-198.42675|84.877875,-196.968625|92.310875,-196.53025|92.19775,-193.181625|90.43025,-199.256375|92.126375,-201.508375|92.2285,-207.040625|95.058,-196.8815|92.515125,-198.280375|92.14825,-199.218|91.511125,-189.647875|84.734125,-193.1875|85.1285,-193.386125|86.432875,-191.364875|84.777125,-190.827625|84.943375,-195.59975|87.433,-197.91625|84.489875,-187.907|83.641,-191.398125|87.685625,-205.537375|88.510875,-200.92675|87.272125,-205.794625|88.3195,-207.091125|87.322,-204.10075|86.9075,-203.998125|86.9615,-207.704375|88.206125,-205.977375|87.78425,-202.646875|87.60175,-199.284|88.9765,-200.305|88.373375,-202.31825|89.401,-199.67525|88.84675,-204.860125|92.7775,-198.8285|87.683125,-199.312|86.188375,-196.915125|87.466,-198.9815|87.968875,-194.514875|84.177625,-202.48875|87.448625,-199.2035|88.528625,-191.74575|88.034875,-203.033125|89.534,-200.2155|87.7805,-204.66975|88.6655,-202.518375|88.4805,-200.897125|87.5025,-198.367625|87.379375,-194.896375|87.96675,-195.785125|86.014,-196.673375|86.7445,-197.291|88.29725,-196.084875|89.943625,-204.974625|86.934875,-195.28275|89.14575,-199.178875|87.327375,
-123.856125|0.584125,-117.7535|0.72475,-119.321125|0.48575,-7.007|0.0,-103.322625|0.68375,-109.203375|0.613625,-92.433375|0.78775,-107.162125|0.471625,-96.12675|0.62975,-198.386875|85.56725,-196.985375|86.99725,-204.238625|87.432,-198.695375|87.108125,-193.957875|84.668,-199.371875|86.84875,-197.02725|85.13575,-198.3955|87.562,-195.124125|85.9665,-189.380375|84.254625,-195.569|84.3435,-196.220125|83.867375,-198.040875|85.2895,-196.425|85.2745,-198.5565|85.85575,-195.64325|84.274125,-196.855|85.710875,-193.192375|85.296125,-197.022875|91.527,-199.457|94.666375,-196.893875|93.806,-201.150375|94.125125,-192.775625|92.156375,-204.49625|91.692625,-199.17225|93.0465,-200.113875|95.241375,-194.730375|91.0435,-188.441625|85.473,-193.418|85.95775,-190.747|86.56775,-188.22275|86.489125,-189.46025|86.073125,-188.370875|85.04575,-196.716875|86.161625,-185.800625|84.507875,-191.156125|85.846875,-201.6705|87.367375,-205.777875|86.2095,-201.826125|87.616625,-200.585125|84.974125,-202.778375|85.763375,-201.37575|88.883375,-204.716125|86.935125,-202.086375|86.91425,-202.61075|85.57225,-198.062|88.749125,-193.85175|87.824875,-200.412375|87.792125,-197.333375|89.403,-199.0555|88.268875,-193.257|86.4125,-198.0025|89.0355,-192.824375|86.656875,-196.502125|86.5985,-196.457|85.306125,-198.828|88.03525,-192.893875|86.445125,-192.784|88.488625,-199.97575|87.614625,-195.665125|86.974375,-199.136875|87.878125,-201.229875|87.322125,-201.465625|87.49925,-194.540875|84.634125,-192.33175|86.893875,-197.885875|89.387375,-196.94225|87.319625,-195.25425|88.953875,-192.996625|86.713625,-202.279125|86.612875,-192.487625|87.577875,-192.918625|87.2805,
-102.916875|0.9075,-100.297|1.053875,-95.345125|0.911625,-99.76275|0.912875,-9.009|0.0,-87.0185|0.822125,-82.4565|1.102375,-83.515625|1.17725,-74.517125|0.76675,-198.02675|90.92575,-195.3075|87.127125,-201.0575|89.239625,-195.916125|86.865125,-197.18225|86.170875,-196.129375|87.363875,-196.561|88.069375,-193.446|86.367875,-194.417125|86.1835,-188.52825|85.45125,-187.892125|85.666,-191.892|84.368625,-192.26325|84.23775,-191.16125|84.65575,-192.392125|84.469875,-191.015125|84.779375,-192.545375|84.378125,-192.1675|83.969625,-194.1845|98.01225,-191.3595|97.0915,-192.8345|96.101,-194.908125|97.318875,-196.979875|98.226875,-190.0815|89.47925,-193.072875|97.388375,-192.336375|98.29625,-191.882625|94.841,-186.197125|86.792625,-185.356375|87.048125,-189.434375|87.282625,-190.90875|89.471,-189.685|89.11325,-185.801|84.882625,-192.330375|86.41775,-186.91125|84.397625,-185.781125|87.2865,-195.812875|86.900625,-200.594|87.846625,-198.367375|88.45525,-199.469125|88.153125,-199.0225|88.168,-199.67725|86.950875,-203.089625|88.50675,-199.45925|87.565625,-198.359625|88.57,-194.379875|89.73325,-192.64825|87.467,-193.1975|88.694875,-194.893125|91.532875,-198.83325|91.688875,-193.123|91.29675,-195.227875|89.33775,-191.054|89.1015,-193.589625|88.9965,-195.387875|88.303125,-195.2675|87.868625,-191.71575|89.9845,-184.8335|87.874875,-193.954|88.230375,-196.2895|90.91175,-191.792|86.842,-196.732125|86.484875,-197.76875|90.383375,-191.73025|89.350375,-191.157|90.00125,-194.038375|88.85825,-193.6735|91.099375,-192.432875|89.107875,-191.77525|88.885625,-198.9245|88.712125,-192.039125|89.945875,-193.558|89.83775,
-93.396375|1.640875,-83.982875|1.70775,-82.9915|1.245875,-78.619875|1.653,-93.2765|1.442875,-8.008|0.0,-67.7255|1.564875,-67.49925|1.388125,-68.502|1.902875,-193.4285|87.054375,-192.753|84.12025,-195.581125|85.11275,-189.636875|84.58525,-195.548125|87.767875,-194.5095|86.593,-196.25625|86.042125,-193.7695|86.4035,-194.17525|85.74925,-182.80625|83.664,-195.320625|87.366,-195.15875|85.949375,-191.628875|84.243125,-189.397875|83.0885,-191.42625|83.03675,-192.693375|85.307625,-193.0545|84.301375,-188.15725|83.847125,-196.61575|94.321125,-197.20725|92.948375,-191.207|91.67825,-200.271|93.497375,-191.938125|92.358625,-205.343875|95.113875,-193.501125|92.672375,-191.074|91.9845,-196.034375|92.179875,-184.636875|84.285125,-191.857875|87.548875,-186.273625|85.50775,-188.741875|85.164,-188.572375|83.60875,-185.904625|83.1745,-191.093|86.44775,-186.73975|85.121125,-182.037|86.47775,-198.811375|86.9735,-199.035875|88.44775,-197.985375|87.48375,-202.257|89.207375,-199.284|85.613125,-199.620375|86.204625,-199.77575|85.346375,-204.2825|90.29,-197.592375|86.113875,-190.516125|88.201,-191.074875|87.566875,-196.066|88.1485,-193.6515|87.61575,-192.749875|88.527375,-191.244375|87.537375,-195.294625|91.756375,-188.43725|86.4955,-191.450375|87.119875,-195.81825|88.1245,-195.296375|88.124875,-194.733625|86.64525,-188.550125|87.61175,-196.670375|90.32575,-193.703375|87.02275,-198.666875|89.04975,-199.411625|88.43425,-194.10375|86.5955,-187.472875|87.1835,-187.98275|86.57525,-194.179125|87.832,-190.087375|86.820625,-186.6515|85.30525,-188.811375|84.698875,-198.29375|88.103375,-188.88425|87.093,-193.0415|88.069375,
-64.126125|0.957375,-59.8745|1.005625,-60.49625|0.792875,-50.94925|0.6775,-62.085|1.079625,-55.984375|0.937625,-9.009|0.0,-52.12525|0.716375,-52.195375|1.194,-195.03575|88.611625,-191.910125|87.885625,-199.60825|89.453375,-189.967875|86.1145,-188.973125|86.0605,-191.112|86.202375,-191.52275|87.63925,-187.573125|85.914,-191.4845|86.647125,-182.911875|89.586125,-184.456|86.0355,-181.375|86.024375,-188.0715|90.159875,-184.213875|87.42675,-189.377|92.138875,-190.97575|91.294625,-188.7175|89.980125,-184.64325|89.653125,-189.76325|93.50525,-187.608125|95.073625,-188.26925|95.034125,-186.20825|90.067375,-194.559|93.834375,-198.432875|92.135875,-190.303125|94.3665,-191.06475|94.52325,-192.678625|97.2435,-178.086875|89.47275,-182.5645|91.809125,-177.22675|86.123,-177.47075|89.499125,-178.036625|88.520625,-180.6055|91.069625,-172.928375|81.06875,-174.19925|86.355625,-177.346625|90.816875,-193.54075|87.3875,-194.70625|88.053,-193.37525|87.876375,-192.96225|87.787875,-195.97175|86.594,-196.926625|89.678125,-199.56275|89.79125,-196.894375|88.083625,-196.8835|89.841875,-190.318875|90.823375,-192.668875|90.476,-190.05825|89.95825,-192.8345|92.396,-191.175625|89.95925,-192.11025|92.074875,-191.52075|90.168625,-193.00025|92.171,-189.85125|89.600875,-192.37225|89.1545,-190.442375|89.65375,-190.669875|87.823875,-183.653375|89.21025,-188.631|85.83775,-191.36|88.42125,-191.389875|88.16525,-188.484875|86.954,-192.408|89.0375,-186.252|90.084625,-186.583875|90.162,-188.3275|88.40825,-190.44|89.710625,-187.9115|90.553125,-185.6305|88.66575,-195.067125|88.678,-185.790625|90.56075,-183.53725|86.36975,
-52.025|1.272625,-46.31725|1.293,-48.058875|1.14475,-47.804375|1.407375,-50.321875|0.87925,-51.080625|1.49575,-52.5775|1.09475,-9.009|0.0,-50.37675|1.345,-195.49725|88.404125,-189.630625|86.20725,-193.5475|85.717125,-190.984|87.0785,-191.220875|87.007875,-191.4375|87.047875,-191.754625|85.987375,-193.694125|88.540875,-193.9465|87.496125,-183.4335|86.026,-190.71|84.420875,-191.581625|85.2015,-193.166375|87.87575,-190.293125|84.832375,-189.83075|85.12975,-187.8225|85.12225,-193.78225|86.466,-189.33625|86.760125,-187.93825|92.176125,-188.81575|94.150125,-185.34925|92.423625,-189.90375|94.4995,-191.1985|93.88475,-196.8005|93.070125,-190.642375|92.9835,-190.6255|94.70275,-193.38475|95.964,-190.251625|88.425875,-188.645125|89.051375,-187.334375|86.471375,-186.842625|89.2835,-182.431625|86.245875,-187.367|87.16775,-192.191375|85.124625,-182.71225|87.59025,-186.853375|88.276625,-193.8785|88.017625,-193.012|86.89425,-195.074|87.346625,-192.123625|85.309,-199.4325|87.64175,-193.491125|88.78375,-195.3835|86.370625,-196.6725|87.92325,-197.059875|87.492,-187.463375|90.7125,-186.774875|92.501375,-186.094125|90.007625,-189.145875|94.006375,-181.87125|84.524375,-187.862375|92.8775,-189.34675|94.446625,-186.442125|92.945375,-189.14675|92.370375,-195.538625|90.295125,-192.933125|88.37275,-191.418375|90.590625,-186.143625|88.952875,-194.795|89.489875,-193.593|88.7645,-193.510375|87.911,-199.136625|89.515625,-194.39825|89.227,-189.487875|90.297375,-190.330875|87.707125,-188.08975|88.716375,-186.2185|86.099375,-188.372375|88.067125,-189.38725|88.808375,-198.289625|88.92325,-186.601125|91.1045,-191.46175|89.667,
-37.875|0.8545,-38.843125|1.16975,-38.3495|0.769,-36.14775|0.687,-38.60575|1.13125,-40.583375|0.941125,-41.71575|0.800625,-41.994125|0.895625,-8.008|0.0,-191.858375|92.863875,-189.009125|91.64025,-187.44775|85.66225,-188.59725|91.014625,-191.764|94.7085,-189.557375|91.439,-188.511625|91.774625,-192.953875|94.571,-188.6285|91.4295,-182.296375|88.005625,-189.2955|88.012625,-189.600375|87.08375,-190.009125|87.5795,-192.721375|91.03325,-188.169125|87.279625,-186.91025|88.183625,-187.797375|89.205875,-184.63325|87.064375,-189.970875|96.878375,-186.082|94.80125,-187.192375|95.013125,-191.93075|97.218375,-190.871875|97.136875,-197.852|95.804625,-190.005375|95.98075,-191.199375|98.512,-191.381125|96.943125,-184.10075|88.725875,-187.709|92.0205,-184.838875|90.60975,-188.579625|90.60375,-179.596625|86.71025,-181.888625|88.881625,-189.621|89.067375,-182.44075|88.944375,-178.27775|87.663,-192.4275|91.072,-192.781375|89.76175,-190.964625|88.63975,-192.886625|89.2685,-193.58075|90.004125,-192.442375|88.256375,-193.913625|88.368625,-192.077125|87.53375,-196.702375|91.627875,-190.26925|92.346375,-189.514|91.19875,-189.52825|91.907125,-188.014875|89.341375,-188.35175|90.423,-190.533625|94.59675,-189.271875|91.658625,-190.606875|95.684875,-189.552875|90.3205,-187.58925|93.980875,-190.480125|93.279625,-187.981375|93.497875,-182.182125|90.80125,-189.605375|93.454125,-187.474875|91.987375,-194.18075|95.1655,-191.94375|94.22325,-188.11725|92.763125,-182.08825|90.91925,-184.466|93.23175,-183.280375|91.90225,-182.318125|93.236125,-184.09|92.803875,-181.741125|91.053625,-176.17225|83.55075,-183.1095|93.59325,-180.755375|90.792875,
-182.3885|81.29825,-181.478625|81.702125,-179.935125|82.29375,-181.874625|81.2395,-181.068125|80.233625,-180.905125|80.4435,-181.7895|80.237,-178.994875|80.604875,-180.535125|80.89325,-10.01|0.0,-108.712125|1.35425,-104.432|1.135625,-111.2775|1.112,-112.15125|1.2185,-119.132625|1.239625,-119.33225|1.118875,-124.833|0.772875,-123.408875|0.52175,-191.090375|85.026625,-190.7985|83.377875,-189.04625|84.405,-191.035875|83.1635,-189.7395|83.599375,-188.314|83.67975,-189.678625|84.781625,-190.066375|82.60625,-188.867|84.706875,-195.2425|91.1965,-195.993625|91.931375,-199.322625|91.865875,-200.697875|91.574875,-195.880125|92.34425,-203.542125|92.567125,-199.275875|92.20625,-198.78075|92.4605,-199.651125|93.7765,-187.71125|85.3205,-189.9815|86.127,-182.499875|83.527625,-187.722625|87.132375,-186.82775|85.423375,-181.680375|84.258875,-185.753875|84.90625,-183.187|85.926375,-187.5455|86.642625,-195.134875|86.12175,-199.4855|88.67975,-199.431375|90.27925,-199.655|87.48675,-197.888875|85.664625,-194.805875|84.719625,-197.96025|85.34175,-191.701625|84.155125,-195.695875|84.83875,-188.87275|86.495625,-189.009375|88.663125,-186.166|86.1785,-187.472375|86.547375,-190.33975|87.76825,-186.929125|85.97125,-187.005625|87.282125,-187.457875|87.376,-188.187875|87.730125,-191.0615|87.205,-190.259875|88.020125,-186.8375|85.57625,-186.102375|86.029,-185.223375|86.08275,-188.831125|86.82225,-187.717|85.57025,-184.828625|85.523875,-187.435|86.972125,-190.664875|85.670375,-193.07025|87.2375,-192.218125|86.388875,-190.73875|86.490875,-191.92975|85.048375,-191.023375|87.530625,-186.61325|84.367625,-192.26975|87.860125,-192.522125|87.45225,
